City_Name,Restaurant_Name,Request_Time_Local,Final_Delivery_Time_Local,Order_Status,Item_Name,Item_quantity,Customizations,Customization_Cost_Local,Special_Instructions,Item_Price,Order_Price,Currency
Portland,Burgerville #4 - Montavilla/92nd & Glisan,2024-02-16T20:26:30.000Z,2024-02-16T21:15:11.000Z,completed,Blazin' Hot Pepper Crispy Chicken Sandwich,1,"Add Toppings, Customize It, Add Cheese, Add Pickles, Add Grilled Red Onion, Add Chipotle Mayo, Add Sauce",0.0,"",8.49,29.27,USD
Portland,Burgerville #4 - Montavilla/92nd & Glisan,2024-02-16T20:26:30.000Z,2024-02-16T21:15:11.000Z,completed,Blazin' Hot Pepper Crispy Chicken Sandwich,1,Add Mama Lil's Peppers (Limited Time Only),0.75,"",8.49,29.27,USD
Portland,Burgerville #4 - Montavilla/92nd & Glisan,2024-02-16T20:26:30.000Z,2024-02-16T21:15:11.000Z,completed,Drink - 22 oz.,1,Coke Zero,,"",2.99,29.27,USD
Portland,Burgerville #4 - Montavilla/92nd & Glisan,2024-02-16T20:26:30.000Z,2024-02-16T21:15:11.000Z,completed,Drink - 22 oz.,1,Coke Zero,0.0,"",2.99,29.27,USD
Portland,Ishtar Gate (SE Foster),2024-02-11T01:24:39.000Z,2024-02-11T02:19:43.000Z,canceled,Lamb kofta Kabob Combo(Saj bread),1,Mexican Coke (500ml),,Make it spicy add sauce inside the sandwich,18.99,44.5,USD
Portland,Ishtar Gate (SE Foster),2024-02-11T01:24:39.000Z,2024-02-11T02:19:43.000Z,canceled,Baklava,1,"",,"",3.0,44.5,USD
Portland,Ishtar Gate (SE Foster),2024-02-11T01:24:39.000Z,2024-02-11T02:19:43.000Z,canceled,Falafel Sandwich Combo(pita bread),1,"",,"",16.99,44.5,USD
Portland,Ishtar Gate (SE Foster),2024-02-11T01:24:39.000Z,2024-02-11T02:19:43.000Z,canceled,Chicken Shawarma Sandwich Combo (Saj bread),1,Mexican Coke (500ml),,Please make it spicy,16.99,44.5,USD
Portland,Ishtar Gate (SE Foster),2024-02-11T01:24:39.000Z,2024-02-11T02:19:43.000Z,canceled,Side garlic sauce,1,"",,"",1.5,44.5,USD
Portland,McDonald's® (Portland/82Nd),2024-02-07T22:10:22.000Z,2024-02-07T22:30:46.000Z,completed,10 pc. Chicken McNuggets®,1,"Big Mac Sauce Cup, Hot Mustard Dipping Sauce, Spicy Buffalo",0.0,"",6.39,23.16,USD
Portland,McDonald's® (Portland/82Nd),2024-02-07T22:10:22.000Z,2024-02-07T22:30:46.000Z,completed,Hot 'N Spicy McChicken® Meal,1,Hot 'N Spicy McChicken® Large Meal,1.1,"",7.09,23.16,USD
Portland,McDonald's® (Portland/82Nd),2024-02-07T22:10:22.000Z,2024-02-07T22:30:46.000Z,completed,Hot 'N Spicy McChicken® Meal,1,American Cheese,1.29,"",7.09,23.16,USD
Portland,McDonald's® (Portland/82Nd),2024-02-07T22:10:22.000Z,2024-02-07T22:30:46.000Z,completed,Creamy Ranch Sauce,1,"",,"",0.39,23.16,USD
Portland,McDonald's® (Portland/82Nd),2024-02-07T22:10:22.000Z,2024-02-07T22:30:46.000Z,completed,Hot 'N Spicy McChicken® Meal,1,"Mustard, Shredded Lettuce, Salt, Regular Bun, Mayonnaise, Ice, Ketchup, Hot 'N Spicy McChicken® Patty, Pickle, Large Coke®",0.0,"",7.09,23.16,USD
Portland,Chipotle Mexican Grill (3582 SE Powell),2024-02-05T19:10:56.000Z,2024-02-05T19:32:31.000Z,completed,Mexican Coca-Cola,1,"",,"",4.15,26.51,USD
Portland,Chipotle Mexican Grill (3582 SE Powell),2024-02-05T19:10:56.000Z,2024-02-05T19:32:31.000Z,completed,Burrito,1,"White Rice, Black Beans, Tomatillo-Green Chili Salsa, Chicken, Fresh Tomato Salsa, Tomatillo-Red Chili Salsa, Cheese, Fajita Veggies",0.0,"",11.85,26.51,USD
Portland,Chipotle Mexican Grill (3582 SE Powell),2024-02-05T19:10:56.000Z,2024-02-05T19:32:31.000Z,completed,Burrito Bowl,1,"Roasted Chili-Corn Salsa, Tomatillo-Green Chili Salsa, Black Beans, Pinto Beans, Tortilla on the Side, Tomatillo-Red Chili Salsa, Sour Cream, White Rice, Sofritas, Fresh Tomato Salsa, Cheese, Fajita Veggies, Romaine Lettuce, Extra Sofritas, Extra Portion",,"",11.85,26.51,USD
Portland,Dil Se Indian Cuisine,2024-02-02T16:17:52.000Z,2024-02-02T17:14:43.000Z,completed,Gobi Manchurian,1,"",,"",9.0,25.57,USD
Portland,Dil Se Indian Cuisine,2024-02-02T16:17:52.000Z,2024-02-02T17:14:43.000Z,completed,Egg Noodles,1,Spicy,0.0,"",15.0,25.57,USD
Portland,Subway (4328 SE 82nd Ave),2024-02-02T00:55:48.000Z,2024-02-02T01:13:51.000Z,completed,#23 The Hotshot Italiano,1,50% More,2.0,"",8.99,16.46,USD
Portland,Subway (4328 SE 82nd Ave),2024-02-02T00:55:48.000Z,2024-02-02T01:13:51.000Z,completed,#23 The Hotshot Italiano,1,Footlong,4.4,"",8.99,16.46,USD
Portland,Subway (4328 SE 82nd Ave),2024-02-02T00:55:48.000Z,2024-02-02T01:13:51.000Z,completed,#23 The Hotshot Italiano,1,"Artisan Italian, Italian Herbs & Cheese, Pickles, MVP Parmesan Vinaigrette™, Tomatoes, Jalapeños, Baja Chipotle, 2X Pepper Jack, Sweet Onion Teriyaki, Red Onions, Lettuce, Black Pepper, 2X Provolone, Toasted",0.0,"",8.99,16.46,USD
Portland,Ishtar Gate (SE Foster),2024-02-01T19:26:40.000Z,2024-02-01T20:09:11.000Z,completed,Chicken Shawarma Sandwich Combo (Saj bread),1,Mexican Coke (500ml),,Extra Spicy Please add sauce in the sandwich.,16.99,32.69,USD
Portland,Ishtar Gate (SE Foster),2024-02-01T19:26:40.000Z,2024-02-01T20:09:11.000Z,completed,Chicken Shawarma Sandwich Combo (Saj bread),1,Mexican Coke (500ml),3.0,Extra spicy please. Add sauce inside sandwich,16.99,32.69,USD
Portland,Chipotle Mexican Grill (3582 SE Powell),2024-01-31T20:07:53.000Z,2024-01-31T20:30:11.000Z,completed,San Pellegrino Sparkling,1,"",,"",3.7,23.5,USD
Portland,Chipotle Mexican Grill (3582 SE Powell),2024-01-31T20:07:53.000Z,2024-01-31T20:30:11.000Z,completed,Burrito Bowl,1,"White Rice, Sofritas, Black Beans, Tomatillo-Green Chili Salsa, Tortilla on the Side, Tomatillo-Red Chili Salsa, Cheese, Fajita Veggies, Sour Cream",,"",11.85,23.5,USD
Portland,Chipotle Mexican Grill (3582 SE Powell),2024-01-31T20:07:53.000Z,2024-01-31T20:30:11.000Z,completed,Burrito Bowl,1,"White Rice, Sofritas, Black Beans, Tomatillo-Green Chili Salsa, Fresh Tomato Salsa, Tomatillo-Red Chili Salsa, Cheese, Fajita Veggies, Sour Cream",0.0,"",11.85,23.5,USD
Portland,Chipotle Mexican Grill (3582 SE Powell),2024-01-31T20:07:53.000Z,2024-01-31T20:30:11.000Z,completed,Tortilla on the Side,1,"",,"",0.65,23.5,USD
Portland,Chipotle Mexican Grill (3582 SE Powell),2024-01-31T20:07:53.000Z,2024-01-31T20:30:11.000Z,completed,Tractor Organic Lemonade,1,"",,"",4.15,23.5,USD
Portland,Thai Sunflowers - Woodstock,2024-01-30T18:28:04.000Z,2024-01-30T19:12:35.000Z,completed,Soda,2,Cola,0.0,Please provide Fanta/sprite if available. Otherwise cola is fine,3.5,32.12,USD
Portland,Thai Sunflowers - Woodstock,2024-01-30T18:28:04.000Z,2024-01-30T19:12:35.000Z,completed,Vegetable Egg Rolls (5 pcs),1,"",,"",6.0,32.12,USD
Portland,Thai Sunflowers - Woodstock,2024-01-30T18:28:04.000Z,2024-01-30T19:12:35.000Z,completed,Pad Prik King,1,Chicken,3.0,Spicy and please add peanuts,13.0,32.12,USD
Portland,Thai Sunflowers - Woodstock,2024-01-30T18:28:04.000Z,2024-01-30T19:12:35.000Z,completed,Rad Na,1,Chicken,0.0,spicy level 3 add peanuts please,14.0,32.12,USD
Portland,Denny's (10428 S E Stark),2024-01-29T21:55:14.000Z,2024-01-29T22:30:25.000Z,completed,Crazy Spicy Skillet,1,"",,"",17.09,31.4,USD
Portland,Denny's (10428 S E Stark),2024-01-29T21:55:14.000Z,2024-01-29T22:30:25.000Z,completed,Jr. Milk Shake,1,Chocolate,0.0,"",2.59,31.4,USD
Portland,Denny's (10428 S E Stark),2024-01-29T21:55:14.000Z,2024-01-29T22:30:25.000Z,completed,Kids Beverage,1,Jr Iced Tea,,"",0.0,31.4,USD
Portland,Chipotle Mexican Grill (3582 SE Powell),2024-01-29T13:09:34.000Z,2024-01-29T13:29:40.000Z,completed,Burrito,1,"White Rice, Tomatillo-Green Chili Salsa, Black Beans, Chicken, Fresh Tomato Salsa, Tomatillo-Red Chili Salsa, Cheese, Fajita Veggies, Sour Cream",0.0,"",11.85,23.19,USD
Portland,Chipotle Mexican Grill (3582 SE Powell),2024-01-29T13:09:34.000Z,2024-01-29T13:29:40.000Z,completed,Burrito Bowl,1,"Tomatillo-Green Chili Salsa, Black Beans, Brown Rice, Chicken, Fresh Tomato Salsa, Tomatillo-Red Chili Salsa, Tortilla on the Side, Cheese, Fajita Veggies, Sour Cream",,"",11.85,23.19,USD
Portland,Chipotle Mexican Grill (3582 SE Powell),2024-01-29T13:09:34.000Z,2024-01-29T13:29:40.000Z,completed,Tractor Organic Black Tea,1,"",,"",4.15,23.19,USD
Portland,Chipotle Mexican Grill (3582 SE Powell),2024-01-29T13:09:34.000Z,2024-01-29T13:29:40.000Z,completed,Tractor Organic Lemonade,1,"",,"",4.15,23.19,USD
Portland,Panda Express (10090 S.e. Washington St. #120),2024-01-28T14:40:57.000Z,2024-01-28T15:34:45.000Z,completed,Bigger Plate,1,"The Original Orange Chicken, Kung Pao Chicken, Honey Sesame Chicken Breast, Chow Mein, Fried Rice",0.0,"",14.9,35.52,USD
Portland,Panda Express (10090 S.e. Washington St. #120),2024-01-28T14:40:57.000Z,2024-01-28T15:34:45.000Z,completed,Mango Guava Tea,1,Large,0.65,"",3.5,35.52,USD
Portland,Panda Express (10090 S.e. Washington St. #120),2024-01-28T14:40:57.000Z,2024-01-28T15:34:45.000Z,completed,Veggie Spring Roll,1,Small (2 pcs),0.0,"",0.0,35.52,USD
Portland,Panda Express (10090 S.e. Washington St. #120),2024-01-28T14:40:57.000Z,2024-01-28T15:34:45.000Z,completed,Veggie Spring Roll,1,Small,2.5,"",0.0,35.52,USD
Portland,Panda Express (10090 S.e. Washington St. #120),2024-01-28T14:40:57.000Z,2024-01-28T15:34:45.000Z,completed,Veggie Spring Roll,2,Small (2 pcs),0.0,"",0.0,35.52,USD
Portland,Panda Express (10090 S.e. Washington St. #120),2024-01-28T14:40:57.000Z,2024-01-28T15:34:45.000Z,completed,Veggie Spring Roll,2,Small,2.5,"",0.0,35.52,USD
Portland,Ishtar Gate (SE Foster),2024-01-28T03:45:20.000Z,2024-01-28T04:11:04.000Z,completed,Chicken Shawarma Sandwich Combo (Saj bread),1,"",,hot sauce,16.99,18.16,USD
Portland,Birrieria PDX 82nd,2024-01-25T21:27:26.000Z,2024-01-25T21:44:22.000Z,completed,Chile Relleno Burrito,1,"POLLO, VEGGIE, Extra Onions, Both Hot and Mild Salsa",0.0,"",15.6,28.12,USD
Portland,Birrieria PDX 82nd,2024-01-25T21:27:26.000Z,2024-01-25T21:44:22.000Z,completed,Jarritos,2,"",,"",5.0,28.12,USD
Portland,Birrieria PDX 82nd,2024-01-25T21:27:26.000Z,2024-01-25T21:44:22.000Z,completed,Chile Relleno Burrito,1,"POLLO, VEGGIE, Extra Onions, Extra Cilantro, Both Hot and Mild Salsa",,"",15.6,28.12,USD
Portland,Chipotle Mexican Grill (3582 SE Powell),2024-01-23T19:04:13.000Z,2024-01-23T19:30:40.000Z,completed,Burrito Bowl,1,"Sofritas, Tomatillo-Green Chili Salsa, Black Beans, Brown Rice, Tortilla on the Side, Fresh Tomato Salsa, Tomatillo-Red Chili Salsa, Cheese, Fajita Veggies, Sour Cream",,"",11.85,23.1,USD
Portland,Chipotle Mexican Grill (3582 SE Powell),2024-01-23T19:04:13.000Z,2024-01-23T19:30:40.000Z,completed,Burrito Bowl,1,Tortilla on the Side,0.65,"",11.85,23.1,USD
Portland,Chipotle Mexican Grill (3582 SE Powell),2024-01-23T19:04:13.000Z,2024-01-23T19:30:40.000Z,completed,Mexican Coca-Cola,2,"",,"",8.3,23.1,USD
Portland,Chipotle Mexican Grill (3582 SE Powell),2024-01-23T19:04:13.000Z,2024-01-23T19:30:40.000Z,completed,Burrito Bowl,1,"Roasted Chili-Corn Salsa, White Rice, Sofritas, Tomatillo-Green Chili Salsa, Black Beans, Fresh Tomato Salsa, Cheese, Fajita Veggies, Sour Cream",0.0,"",11.85,23.1,USD
Portland,Chipotle Mexican Grill (3582 SE Powell),2024-01-23T19:04:13.000Z,2024-01-23T19:30:40.000Z,completed,Mexican Coca-Cola,1,"",,"",4.15,23.1,USD
Portland,Dick's Primal Kitchen,2024-01-22T15:36:46.000Z,2024-01-22T16:08:58.000Z,completed,Iced Tea,1,"",,"",2.0,24.08,USD
Portland,Dick's Primal Kitchen,2024-01-22T15:36:46.000Z,2024-01-22T16:08:58.000Z,completed,Large Fry,1,"Yellow Mustard, Ketchup",0.0,"",6.25,24.08,USD
Portland,Dick's Primal Kitchen,2024-01-22T15:36:46.000Z,2024-01-22T16:08:58.000Z,completed,Mi Chile Picante,2,Well Done,0.0,"",25.0,24.08,USD
